document_id,canonical_id,title,source,document_type,source_tier,primary_section,secondary_sections,confidence,evidence_level,reason_for_review,url,local_path
10.1038/s41598-022-25767-1,CAN_1E45864AC70821641D43,Evaluation of the relationship between the collapsed mechanism and excavation method in tunnels excavated in schists.,europe_pmc,journal_article,TIER_B,2.4.1,,0.75,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Evaluation_of_the_relationship_between_the_collapsed_mechanism_and_excavation_method_in_tunnels_exca.pdf
10.1016/j.autcon.2020.103261,CAN_D5F1506AD5B5B7AAB104,Structural Health Monitoring with Distributed Optical Fiber Sensors of tunnel lining affected by nearby construction activity,openalex,journal_article,TIER_B,5.4.1,1.4;5.9.2;2.4.1.3;5.9,0.3811,TITLE_METADATA_ONLY,classification_status_not_allowed,https://hdl.handle.net/2117/189036,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Structural_Health_Monitoring_with_Distributed_Optical_Fiber_Sensors_of_tunnel_lining_affected_by_nea.pdf
10.3837/tiis.2020.09.013,CAN_FF061503BDA02A456679,Crack Detection Method for Tunnel Lining Surfaces using Ternary Classifier,crossref,journal_article,TIER_B,5.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Crack_Detection_Method_for_Tunnel_Lining_Surfaces_using_Ternary_Classifier.pdf
10.18178/ijscer.9.1.101-105,CAN_08E909118F140FD20B0C,An Image Mosaicking Method for Tunnel Lining Inspection,crossref,journal_article,TIER_B,5.4.1,,0.92,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/An_Image_Mosaicking_Method_for_Tunnel_Lining_Inspection.pdf
10.2219/rtriqr.60.1_33,CAN_1C3945E0DBC56BB389EB,&lt;b&gt;Tunnel Lining Crack Detection Method by Means of Deep Learning&lt;/b&gt;,openalex,journal_article,TIER_B,5.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Tunnel_Lining_Crack_Detection_Method_by_Means_of_Deep_Learning.pdf
10.3390/ma10060577,CAN_78EF3E3C1AF6A1130BB8,Influence of the Constitutive Model for Shotcrete on the Predicted Structural Behavior of the Shotcrete Shell of a Deep Tunnel,openalex,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Influence_of_the_Constitutive_Model_for_Shotcrete_on_the_Predicted_Structural_Behavior_of_the_Shotcr.pdf
10.3390/s26103111,CAN_F3D45246691E60456504,A High-Precision Method for Extracting Lateral Deformation in Operational Shield Tunnels Based on LiDAR Point Cloud Analysis,doaj,journal_article,TIER_B,2.4,1.4;5.4.1;5.9;2.4.1.1,0.3755,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/A_High-Precision_Method_for_Extracting_Lateral_Deformation_in_Operational_Shield_Tunnels_Based_on_Li.pdf
10.64589/juri/209725,CAN_B4E4617FB129D841031F,Artificial neural networks for predicting the maximum surface settlement induced by EPB-TBM: The Algiers Metro Case,crossref,journal_article,TIER_B,2.2,5.7.1;2.4.1.1;2.4.2;1.4,0.7044,ABSTRACT,classification_status_not_allowed,https://doi.org/10.64589/juri/209725,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Artificial_neural_networks_for_predicting_the_maximum_surface_settlement_induced_by_EPB-TBM_The_Algi.pdf
2026_Thermo-Hydro-Mechanical_Modeling_of_a_TBM_Tunnel_in_Opalinus_Clay_Thermal_Coupling_Effects,CAN_7B16AEF903823BE61B3C,Thermo-Hydro-Mechanical Modeling of a TBM Tunnel in Opalinus Clay: Thermal Coupling Effects on Long-term Lining Pressures and Excavation Damage Zone Development,arxiv,journal_article,TIER_B,2.2,5.4.1;5.9;2.4;5.9.2,0.6115,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2026_Thermo-Hydro-Mechanical_Modeling_of_a_TBM_Tunnel_in_Opalinus_Clay_Thermal_Coupling_Effects.pdf
10.3390/s26113360,CAN_C19DEEBDF287CB9AB611,Shield Tunnel Crack Detection Based on Improved Unet,doaj,journal_article,TIER_B,5.4.1,1.4;5.9.2;5.9;5.9.1,0.6144,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2026_Shield_Tunnel_Crack_Detection_Based_on_Improved_Unet.pdf
10.56028/aetr.16.1.1703.2026,CAN_29914E1DBD077311694E,Research on Automated Algorithm for Tunnel Crack Detection Based on Deep Learning,crossref,journal_article,TIER_B,5.4.1,1.4;5.9;5.9.2;5.9.1,0.6132,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2026_Research_on_Automated_Algorithm_for_Tunnel_Crack_Detection_Based_on_Deep_Learning.pdf
10.1038/s41598-025-17696-6,CAN_E2E40D3ACAD76B7539E0,Analysis and reinforcement design of power concentrated joints in steel arch splicing mechanisms for tunnel boring machines.,europe_pmc,journal_article,TIER_B,2.4,1.4;5.4.1;5.7;2.2,0.379,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Analysis_and_reinforcement_design_of_power_concentrated_joints_in_steel_arch_splicing_mech.pdf
10.1038/s41598-025-95072-0,CAN_05CC81EA86E228975E70,Research on recycling value grading and real-time perception of rock debris from TBM tunneling.,europe_pmc,journal_article,TIER_B,1.4,5.9.2;2.4;5.9;2.4.1,0.373,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Research_on_recycling_value_grading_and_real-time_perception_of_rock_debris_from_TBM_tunne.pdf
10.1371/journal.pone.0325296,CAN_2BCDD1796C118104B0BC,Artificial intelligence-assisted method of structural health monitoring of subway shield tunnel based on insulation degradation location.,europe_pmc,journal_article,TIER_B,5.4.1,,0.82,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Artificial_intelligence-assisted_method_of_structural_health_monitoring_of_subway_shield_t.pdf
10.12700/aph.22.4.2025.4.18,CAN_CCD9C35883471FDF282F,A Preprocessing Method to Improve Edge Crack Detection from Railway Tunnel Lining Images,openalex,journal_article,TIER_B,5.4.1,,0.76,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_A_Preprocessing_Method_to_Improve_Edge_Crack_Detection_from_Railway_Tunnel_Lining_Images.pdf
10.1038/s41598-025-17837-x,CAN_AF0BB48FC3B4179E62B0,Mechanical behavior prediction of tunnel with single-layer steel fiber shotcrete lining.,europe_pmc,journal_article,TIER_B,1.4,2.4;5.4.1;5.9;5.9.2,0.3795,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Mechanical_behavior_prediction_of_tunnel_with_single-layer_steel_fiber_shotcrete_lining.pdf
10.1038/s41598-025-92375-0,CAN_DBCABB5A4D66EF13011C,A safety risk assessment method for TBM tunnel construction based on attribute interval identification theory.,europe_pmc,journal_article,TIER_B,2.4.2.1,1.4;1.5;2.4;5.9.2,0.6078,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_A_safety_risk_assessment_method_for_TBM_tunnel_construction_based_on_attribute_interval_id.pdf
10.1038/s41598-024-84826-x,CAN_0400654F2E3B554C4F7A,"Applying the PROMETHEE II, WASPAS, and CoCoSo models for assessment of geotechnical hazards in TBM tunneling.",europe_pmc,journal_article,TIER_B,2.2,1.4;2.4;5.9.2;5.4.1,0.6115,TITLE_METADATA_ONLY,classification_status_not_allowed,,"/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Applying_the_PROMETHEE_II,_WASPAS,_and_CoCoSo_models_for_assessment_of_geotechnical_hazard.pdf"
10.12700/aph.22.4.2025.4.12,CAN_63418613F42C5026B3FA,"A Roughness, Feature-based Algorithm of Point Cloud Segmentation of the Secondary Lining in NATM Tunnel",openalex,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,"/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_A_Roughness,_Feature-based_Algorithm_of_Point_Cloud_Segmentation_of_the_Secondary_Lining_i.pdf"
10.38124/ijisrt/25dec486,CAN_3731F6C8EC6333346D85,Advanced Aspects & Precautions in Tunnel Linings Constructed by NATM Using Gantries,openalex,journal_article,TIER_B,2.2,,0.9,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2025_Advanced_Aspects_Precautions_in_Tunnel_Linings_Constructed_by_NATM_Using_Gantries.pdf
10.12700/aph.21.1.2024.1.16,CAN_7C2229A8B562F0CBF456,Review of Railway Operation Tunnel Inspection System and Condition Assessment Method,openalex,journal_article,TIER_B,5.9.2,5.9;2.4.1.3;1.4;5.4.1,0.7087,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2024_Review_of_Railway_Operation_Tunnel_Inspection_System_and_Condition_Assessment_Method.pdf
10.1016/j.heliyon.2024.e37148,CAN_7F8D904D3A4117BFD11A,Experimental and numerical investigation of the TBM disc cutter wear using a new tunnel boring machine laboratory simulator.,europe_pmc,journal_article,TIER_B,2.2,1.4;2.4;5.9.2;2.4.1.1,0.6064,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2024_Experimental_and_numerical_investigation_of_the_TBM_disc_cutter_wear_using_a_new_tunnel_bo.pdf
10.1016/j.heliyon.2024.e37667,CAN_2126E4BA94627193E89C,Study of the influence of spatial effects on the ground surface and buildings in a two-lane tunnel boring.,europe_pmc,journal_article,TIER_B,2.4,1.4;2.4.1.1;2.4.1;5.9.2,0.3775,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2024_Study_of_the_influence_of_spatial_effects_on_the_ground_surface_and_buildings_in_a_two-lan.pdf
10.1016/j.heliyon.2023.e23486,CAN_A816BCF47CC2DADDEA8F,Risk analysis in underground tunnel construction with tunnel boring machines using the Best-Worst method and data envelopment analysis.,europe_pmc,journal_article,TIER_B,2.4.2.1,1.4;5.7.1;5.7;2.4,0.6095,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2024_Risk_analysis_in_underground_tunnel_construction_with_tunnel_boring_machines_using_the_Bes.pdf
10.24425/ams.2022.141463,CAN_FA460A31E975968971BD,Assessment of the Behaviour of Flysch Rock Mass During Tunnel Boring in the Primary Lining Using Indicators and Limit Values of Displacements and Deformations,crossref,journal_article,TIER_B,2.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2023_Assessment_of_the_Behaviour_of_Flysch_Rock_Mass_During_Tunnel_Boring_in_the_Primary_Lining.pdf
10.3221/igf-esis.64.08,CAN_55C38D7AC30D03257836,Evaluating the Safety and the Effect of Blast Loading on the Shotcrete together with lattice girder Support of Tunnels,openalex,journal_article,TIER_B,1.4,2.4;1.5;1.5.1;2.2,0.3808,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2023_Evaluating_the_Safety_and_the_Effect_of_Blast_Loading_on_the_Shotcrete_together_with_latti.pdf
10.3390/geosciences13080244,CAN_1A69D1823B612A35260B,Tunnelling with Full-Face Shielded Machines: A 3D Numerical Analysis of an Earth Pressure Balance (EPB) Excavation Sequence Using the Finite Element Method (FEM),openalex,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2023_Tunnelling_with_Full-Face_Shielded_Machines_A_3D_Numerical_Analysis_of_an_Earth_Pressure_B.pdf
2023_Assessment_of_optimal_tunnel_boring_machine_(TBM)_excavation_method_by_analyzing_stability,CAN_F4D25CCCEF5BC5F1507B,Assessment of optimal tunnel boring machine (TBM) excavation method by analyzing stability of tunnels in squeezing rock conditions (Case Study: Chamshir Tunnel),doaj,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2023_Assessment_of_optimal_tunnel_boring_machine_(TBM)_excavation_method_by_analyzing_stability.pdf
10.2478/minrv-2022-0008,CAN_77F34EDECBD405F149D8,Finite Element Method for Designing Large Section Underground Works by Sequential Excavation Method. Study Case: Lugoj-Deva Road Tunnel,openalex,journal_article,TIER_B,2.4,,0.75,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2022_Finite_Element_Method_for_Designing_Large_Section_Underground_Works_by_Sequential_Excavati.pdf
10.1680/jgeot.21.00146,CAN_F5B3FBEB9682A0535EE9,Modelling the infiltration behaviour of foam into saturated sand considering capillary resistance for EPB shield tunnelling,openalex,journal_article,TIER_B,2.2,1.4;2.4;5.4.1;5.9,0.6024,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2022_Modelling_the_infiltration_behaviour_of_foam_into_saturated_sand_considering_capillary_res.pdf
10.3390/ma15010391,CAN_BEB5C987DB9DBC2F27D1,Tunnel Squeezing Deformation Control and the Use of Yielding Elements in Shotcrete Linings: A Review.,europe_pmc,journal_article,TIER_B,5.9,,0.82,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2022_Tunnel_Squeezing_Deformation_Control_and_the_Use_of_Yielding_Elements_in_Shotcrete_Linings.pdf
10.1016/j.autcon.2021.103880,CAN_6D4AB7709EA334957713,Decision Support System for an Intelligent Operator of Utility Tunnel Boring Machines,arxiv,journal_article,TIER_B,1.4,5.9.2;2.4;5.7.1;5.9,0.3793,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2021_Decision_Support_System_for_an_Intelligent_Operator_of_Utility_Tunnel_Boring_Machines.pdf
10.3390/infrastructures5090073,CAN_E84CCD6BAD0E2D72A7F7,Cost Overruns in Tunnelling Projects: Investigating the Impact of Geological and Geotechnical Uncertainty Using Case Studies,openalex,journal_article,TIER_B,2.3,,0.92,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2020_Cost_Overruns_in_Tunnelling_Projects_Investigating_the_Impact_of_Geological_and_Geotechnic.pdf
2020_Influence_of_geology_on_tunnel_boring_machine_performance_A_review,CAN_C0080A5802CAC380D4DB,Influence of geology on tunnel boring machine performance: A review,doaj,journal_article,TIER_B,5.9,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2020_Influence_of_geology_on_tunnel_boring_machine_performance_A_review.pdf
10.3390/s20030717,CAN_597CCD7CBD8F469166F6,Automatic Tunnel Crack Detection Based on U-Net and a Convolutional Neural Network with Alternately Updated Clique,openalex,journal_article,TIER_B,5.4.1,5.9;1.4;5.9.2;2.4,0.6201,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2020_Automatic_Tunnel_Crack_Detection_Based_on_U-Net_and_a_Convolutional_Neural_Network_with_Al.pdf
10.14311/cej.2020.04.0040,CAN_E6393CE80B694DE69DD4,PREDICTION OF TBM PENETRATION RATE OF WATER CONVEYANCE TUNNELS IN IRAN USING MODERN METHODS,crossref,journal_article,TIER_B,2.2,1.4;5.9.1;5.9.2;5.9,0.6129,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2020_PREDICTION_OF_TBM_PENETRATION_RATE_OF_WATER_CONVEYANCE_TUNNELS_IN_IRAN_USING_MODERN_METHOD_2.pdf
10.9711/ktaj.2019.21.5.717,CAN_3567CA29CE6BACF41A62,Assessment of NATM tunnel lining thickness and its behind state utilizing GPR survey,openalex,journal_article,TIER_B,1.4,,0.75,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2019_Assessment_of_NATM_tunnel_lining_thickness_and_its_behind_state_utilizing_GPR_survey.pdf
10.5937/tehnika1903359m,CAN_AF325BC16A88A8D2E5E4,"Techno - economic analysis for the construction of the supply tunnel of hpp ""Dabar"" with the application of TBM technology",crossref,journal_article,TIER_B,2.2,2.4;5.9.2;1.4;6.2,0.6126,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2019_Techno_-_economic_analysis_for_the_construction_of_the_supply_tunnel_of_hpp_Dabar_with_the_2.pdf
10.35180/gse-2019-0007,CAN_9568E5D84F616408D0F9,USE OF ROCK MASS RATING (RMR) VALUES FOR SUPPORT DESIGNS OF TUNNELS EXCAVATED IN SOFT ROCKS WITHOUT SQUEEZING PROBLEM,openalex,journal_article,TIER_B,2.2.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2019_USE_OF_ROCK_MASS_RATING_(RMR)_VALUES_FOR_SUPPORT_DESIGNS_OF_TUNNELS_EXCAVATED_IN_SOFT_ROCK.pdf
10.28991/cej-0309155,CAN_7D23A0D2ED1E92F58FB4,Numerical Analysis of TBM Tunnel Lining Behavior using Shotcrete Constitutive Model,openalex,journal_article,TIER_B,2.2,1.4;2.4;5.4.1;1.4.1,0.6099,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2018_Numerical_Analysis_of_TBM_Tunnel_Lining_Behavior_using_Shotcrete_Constitutive_Model_2.pdf
10.31031/acet.2018.01.000508,CAN_A3530CB77397A10EB36B,Designing a Two‐Floor Urban Traffic Tunnel by Using NATM Tunneling Method in Tehran Alluvium with Shallow Overburden under Modares Highway,openalex,journal_article,TIER_B,2.2,,0.95,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2018_Designing_a_Two‐Floor_Urban_Traffic_Tunnel_by_Using_NATM_Tunneling_Method_in_Tehran_Alluvi_2.pdf
10.3151/jact.15.213,CAN_C88FF19B0E0F9FD96D37,Modeling and Verification of Early Age Thermal Stress in Second Lining Concrete of NATM Tunnels,openalex,journal_article,TIER_B,2.2,1.4;5.4.1;2.4;2.4.1.1,0.6095,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2017_Modeling_and_Verification_of_Early_Age_Thermal_Stress_in_Second_Lining_Concrete_of_NATM_Tu.pdf
10.1515/amsc-2017-0057,CAN_CC1C42BE5D4697334213,Multivariate Linear Regression and CART Regression Analysis of TBM Performance at Abu Hamour Phase-I Tunnel,openalex,journal_article,TIER_B,1.4,5.9.2;5.9;5.7.1;5.9.1,0.3798,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2017_Multivariate_Linear_Regression_and_CART_Regression_Analysis_of_TBM_Performance_at_Abu_Hamo.pdf
10.12814/jkgss.2016.15.2.055,CAN_9394485125BB5176C993,Analysis on Surface Collapse of the Road NATM Tunnel through the Weathered Rock,crossref,journal_article,TIER_B,1.4,,0.75,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2016_Analysis_on_Surface_Collapse_of_the_Road_NATM_Tunnel_through_the_Weathered_Rock_2.pdf
10.9711/ktaj.2016.18.5.453,CAN_11AEC73194DB06348BBC,Overall risk analysis of shield TBM tunnelling using Bayesian Networks (BN) and Analytic Hierarchy Process (AHP),openalex,journal_article,TIER_B,2.2,1.4;5.9.2;5.7.1;5.9,0.6062,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2016_Overall_risk_analysis_of_shield_TBM_tunnelling_using_Bayesian_Networks_(BN)_and_Analytic_H.pdf
10.9711/ktaj.2016.18.3.305,CAN_7331AE7375A6B1475841,Reliability analysis of surface settlement during shield TBM tunneling,crossref,journal_article,TIER_B,2.2,1.4;5.9.2;5.9;5.4.1,0.6056,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2016_Reliability_analysis_of_surface_settlement_during_shield_TBM_tunneling_2.pdf
10.3844/ajassp.2015.276.283,CAN_D4465D733AF6EFD629A0,Analysis of the Interaction between the Lining of a TBM Tunnel and the Ground Using the Convergence-Confinement Method,crossref,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2015_Analysis_of_the_Interaction_between_the_Lining_of_a_TBM_Tunnel_and_the_Ground_Using_the_Co_2.pdf
10.9711/ktaj.2015.17.1.049,CAN_FAE0B643DA07CD61FAB8,TBM segment lining section design of hypothetical subsea tunnels,openalex,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/2015_TBM_segment_lining_section_design_of_hypothetical_subsea_tunnels.pdf
