document_id,field,current_value,deterministic_suggestion,llm_suggestion,selected_candidate,evidence,confidence,agreement_status,adjudication_status,adjudication_reason,review_priority,source_sha256
DOC000004,document_type,unknown,unknown,technical_report,,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.'",high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
DOC000004,authority_level,,unclassified,unclassified,,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.' [authority_B_evidence_class_mismatch]",low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
DOC000005,title,,3433030499-627,Tunnel Engineering Handbook,,1.2.2 Constructional measures for road safety in tunnels [suggested_value_not_supported_by_evidence],low,deterministic_llm_conflict,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000005,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000005,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000005,document_type,unknown,unknown,handbook,,1.2.2 Constructional measures for road safety in tunnels,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000005,authority_level,,unclassified,unclassified,,1.2.2 Constructional measures for road safety in tunnels [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000006,title,,3433030499-628,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b
DOC000006,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b
DOC000006,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b
DOC000006,document_type,unknown,unknown,handbook,,"Index, extensive technical glossary of tunnelling terms (TBM, shotcrete, waterproofing, monitoring), cross-referenced page numbers indicating a comprehensive reference work or manual. [evidence_not_grounded_in_context]",low,llm_only,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b
DOC000006,authority_level,,unclassified,unclassified,,not_requested,high,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b
DOC000007,title,,3433030499-629,Volume II: Basics and Additional Services for Design and Construction,,Volume II: Basics and Additional Services for Design and Construction,high,deterministic_llm_conflict,human_review_required,strong_deterministic_llm_conflict,P0,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000007,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000007,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000007,document_type,unknown,unknown,book_or_book_chapter,,Volume II: Basics and Additional Services for Design and Construction,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000007,authority_level,,unclassified,unclassified,,Volume II: Basics and Additional Services for Design and Construction [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000009,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000009,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000009,language,,unknown,mixed,,Sayfa 1,medium,llm_only,human_review_required,field_specific_language_identity_or_publication_check_required,P2,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000009,document_type,unknown,unknown,project_document,,AppendixF,medium,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000009,authority_level,,unclassified,unclassified,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000010,organization,,,CivilDigital,,© 2021 CivilDigital · Built with GeneratePress,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4
DOC000010,document_type,unknown,unknown,web_article,,Home Resources  Articles About Us  Site Map Contact Us,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4
DOC000010,authority_level,,unclassified,unclassified,,CivilDigital website article [authority_D_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4
DOC000011,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d
DOC000011,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d
DOC000011,document_type,unknown,unknown,unknown,,Annex 13 - Case study on tunnels [controlled_vocabulary_rejected],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d
DOC000011,authority_level,,unclassified,unclassified,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d
DOC000012,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a
DOC000012,document_type,unknown,unknown,manual,manual,The present manual does not intend detailing these various modes of financing,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a
DOC000012,authority_level,,unclassified,A,,[**1. Foreword**](https://tunnelsmanual.piarc.org/en/strategy-and-general-design-strategic-issues/costs-financial-aspects),high,llm_only,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a
DOC000013,organization,,,Xi'an Municipal Engineering Design&Research Institute Co Ltd; Chang'an University,,"Xi'an Municipal Engineering Design&Research Institute Co Ltd, Xi'an, Shaanxi, China School of Highway, Chang'an University, Xi'an, Shaanxi, China",high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f
DOC000013,authority_level,,B,unclassified,,not_requested [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f
DOC000014,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28
DOC000014,document_type,unknown,unknown,conference_paper,,GeoMon2013Paper644_revised_final_cost.pdf [evidence_not_grounded_in_context],low,llm_only,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28
DOC000014,authority_level,,unclassified,B,B,academic_paper,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28
DOC000015,document_type,unknown,unknown,manual,manual,TOMIE MANUAL,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8
DOC000015,authority_level,,unclassified,unclassified,,disseminated under the sponsorship of the U.S. Department of Transportation [authority_A_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8
DOC000016,organization,,,High Speed 2 (HS2),,"On the 26 March 2015 the House of Commons Select Committee for the High Speed 2 (London to West Midlands) hybrid Bill published their 'First Special Report'. Paragraph 75 states: 'The merits of tunnels should be assessed on the basis of their own cost and potential benefit, not their percentage contribution to overall project costs. We have requested that the Promoter make available a guide to tunnel costs to assist petitioners arguing the case for more tunnelling.'",high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
DOC000016,document_type,unknown,unknown,technical_report,,This Guide provides a general description of the principal cost elements for bored (or mechanised) tunnels constructed using either an 'Earth Pressure Balance Machine' (EPBM) or a 'Slurry' machine.,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
DOC000016,authority_level,,unclassified,unclassified,,This Guide provides a general description of the principal cost elements for bored (or mechanised) tunnels constructed using either an 'Earth Pressure Balance Machine' (EPBM) or a 'Slurry' machine. [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
DOC000017,organization,,,International Research Journal of Engineering and Technology (IRJET),,International Research Journal of Engineering and Technology (IRJET)       e-ISSN: 2395-0056,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4
DOC000017,year,,,2021,2021,Volume: 08 Issue: 07 | July 2021,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4
DOC000017,authority_level,,unclassified,unclassified,,not_requested [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4
DOC000018,organization,,,Asian Development Bank,Asian Development Bank,ASIAN DEVELOPMENT BANK ## LOW-COST TUNNELS FOR RURAL ROADS IN ASIA AND THE PACIFIC,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886
DOC000018,year,,,2021,,© 2021 Asian Development Bank,high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886
DOC000018,authority_level,,B,unclassified,,ASIAN DEVELOPMENT BANK ## LOW-COST TUNNELS FOR RURAL ROADS IN ASIA AND THE PACIFIC [authority_A_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886
DOC000019,organization,,,AECOM Limited,AECOM Limited,This document has been prepared by AECOM Limited for the sole use of our client,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856
DOC000019,document_type,unknown,unknown,technical_report,,"This document has been prepared by AECOM Limited for the sole use of our client (the 'Client') and in accordance with generally accepted consultancy principles, the budget for fees and the terms of reference agreed between AECOM Limited and the Client.",high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856
DOC000019,authority_level,,unclassified,unclassified,,"Although this report was commissioned by the Department for Transport (DfT), the findings and recommendations are those of the authors and do not necessarily represent the views of the DfT. [authority_B_evidence_class_mismatch]",low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856
DOC000020,organization,,,Fermilab,,## U/G Unit Cost Analysis ## ► Objective: Prepare unit construction cost estimates for the underground structures and their supporting construction facilities for the conventional facilities associated with the proposed International Linear Collider (ILC) sited in a northeastern Illinois region near Fermilab.,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e
DOC000020,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e
DOC000020,authority_level,,unclassified,unclassified,,THICKI01_TALK.pdf [evidence_not_grounded_in_context] [authority_C_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e
DOC000021,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e
DOC000021,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e
DOC000022,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3
DOC000022,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3
DOC000022,document_type,unknown,unknown,web_article,,https://www.civilknowledges.com/bending-moment-types-formations/,medium,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3
DOC000022,authority_level,,unclassified,unclassified,,https://www.civilknowledges.com/bending-moment-types-formations/ [authority_D_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3
DOC000023,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e
DOC000023,document_type,unknown,unknown,manual,manual,URL: tunnelsmanual.piarc.org,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e
DOC000024,organization,,,University of Mysore,University of Mysore,Prof  A. BALSUBRAMANIAN CENTRE FOR ADVANCED STUDIES IN EARTH SCIENCE UNIVERSITY OF MYSORE MYSORE-6,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000024,year,,,2014,,Technical Report · March 2014,high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000024,document_type,unknown,unknown,technical_report,,Technical Report · March 2014,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000024,authority_level,,unclassified,unclassified,,"Technical Report · March 2014 CITATIONS 0 READS 55,921 [authority_B_evidence_class_mismatch]",low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000025,organization,,,CivilJungle,,By Krunal Rajput HOME [CIVIL](https://civiljungle.com/category/civil/),high,llm_only,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644
DOC000025,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644
DOC000025,document_type,unknown,unknown,web_article,,By Krunal Rajput HOME [CIVIL](https://civiljungle.com/category/civil/),high,llm_only,rejected_suggestion,evidence_or_validation_guard_failed,NONBLOCKING,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644
DOC000025,authority_level,,unclassified,unclassified,,By Krunal Rajput HOME [CIVIL](https://civiljungle.com/category/civil/) [authority_D_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644
DOC000036,year,,,2015,,4 Ağustos 2015 SALI Sayı : 29435,high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937
DOC000037,organization,,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c
DOC000038,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
DOC000038,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
DOC000038,document_type,unknown,unknown,academic_article,,This paper analyzes the feasibility of Bolu Mountain Tunnel which is one of the most costly highway projects in Turkey.,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
DOC000038,authority_level,,unclassified,unclassified,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
DOC000039,organization,,,Infrastructure and Projects Authority (IPA),,the Infrastructure and Projects Authority (IPA) is developing a new top-down benchmarking methodology,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000039,year,,,2018,,"In September 2018, in collaboration with the British Tunnelling Society (BTS), a tunnelling forum was held",high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000039,document_type,unknown,unknown,technical_report,,"This paper describes a recent re-benchmarking exercise carried out in 2018. It sets out the methodology adopted, the results, and recommendations for their future use.",high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000039,authority_level,,unclassified,unclassified,,"IPA is the government's centre of expertise for infrastructure and major projects, joint reporting to HM Treasury and the Cabinet Office. [authority_C_evidence_class_mismatch]",low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000041,organization,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000041,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000041,language,,unknown,en,,# Estimate of annual operating costs Highway Tunnel,high,llm_only,human_review_required,field_specific_language_identity_or_publication_check_required,P2,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000041,document_type,unknown,unknown,technical_report,,# Estimate of annual operating costs Highway Tunnel,medium,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000041,authority_level,,unclassified,unclassified,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000042,year,,,2020,2020,"El-Cezerî Journal of Science and Engineering Vol:7, No:3, 2020 (1258-1274)",high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a
DOC000042,authority_level,,B,unclassified,,not_requested [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a
DOC000044,organization,,,Sapienza University of Rome,Sapienza University of Rome,"Department of Civil, Constructional and Environmental Engineering, Sapienza University of Rome, Italy",high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000044,year,,,2015,,Available online 22 October 2015,high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000044,document_type,unknown,unknown,academic_article,,Tunnelling and Underground Space Technology,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000044,authority_level,,unclassified,unclassified,,academic article published in a peer-reviewed journal (Tunnelling and Underground Space Technology) [evidence_not_grounded_in_context] [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000045,document_type,unknown,unknown,technical_report,,Tünellerin Asgari Güvenlik Gereksinimlerine İlişkin Proje Kriterlerinin Belirlenmesi İle İlgili Komisyon Raporu,medium,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,5d524bf61343305c4f9c1a8fda2248659201b7fa0304f2a8c00b0c9559d8dbc4
