document_id,source_relative_path,source_filename,source_extension,source_sha256,selected_variant,authority_level_current,authority_level_suggested,authority_evidence,authority_confidence,document_type_current,document_type_suggested,document_type_evidence,document_type_confidence,language_current,language_suggested,language_confidence,year_current,year_suggested,year_evidence,year_confidence,topics_current,topics_suggested,topics_evidence,topics_confidence,organization_suggested,title_suggested,citation_mode,citation_sidecar,original_page_provenance_available,requires_human_review,review_status
DOC000012,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,COSTS OF CONSTRUCTION_Tunnel.docx,.docx,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a,baseline,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: piarc,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|geology|geotechnical_investigation|maintenance|monitoring|operations|regulation|risk|safety|traffic|ventilation,geotechnical_investigation:geotechnical; geology:geolog; monitoring:monitoring; risk:risk; safety:safety; ventilation:ventilation; traffic:traffic; operations:operation; maintenance:maintenance; regulation:regulation; cost:maliyet; tunnel_general:tunnel,high,PIARC,COSTS OF CONSTRUCTION_Tunnel,document_section,,false,true,pending
DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,.pdf,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f,full_docling,,B,Akademik yayın türü sinyali: academic_article,medium,unknown,academic_article,İlk içerik bölümünde yayın türü sinyali: research article,medium,,en,high,,2022,Belge metninde publication/date bağlamında açık yıl: 2022,medium,maintenance,cost|maintenance|safety|ventilation,safety:safety; ventilation:ventilation; maintenance:maintenance; cost:maliyet; tunnel_general:tunnel,high,,Estimation_of_Annual_Routine_Maintenance_Cost_for_,pdf_page,data/temp/full_docling_chunks/DOC000013/0001.docling.json,true,true,pending
DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,GeoMon2013Paper644_revised_final_cost.pdf,.pdf,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,2013,2013,Mevcut canonical metadata yılı: 2013,high,,contracts|cost|excavation|geology|geotechnical_investigation|operations,geotechnical_investigation:geotechnical; geology:geolog; excavation:excavat; operations:operation; cost:maliyet; contracts:contract; tunnel_general:tunnel,high,,GeoMon2013Paper644_revised_final_cost,pdf_page,data/temp/full_docling_chunks/DOC000014/0001.docling.json,true,true,pending
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,hif15005.pdf,.pdf,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,full_docling,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: fhwa,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,2015,Belge metninde publication/date bağlamında açık yıl: 2015,medium,,contracts|cost|inspection|inventory|maintenance|operations|safety|standards,safety:safety; operations:operation; maintenance:maintenance; inspection:inspection; standards:standard; cost:maliyet; contracts:contract; inventory:inventory; tunnel_general:tunnel,high,FHWA,hif15005,pdf_page,data/temp/full_docling_chunks/DOC000015/0001.docling.json|data/temp/full_docling_chunks/DOC000015/0005.docling.json|data/temp/full_docling_chunks/DOC000015/0006.docling.json|data/temp/full_docling_chunks/DOC000015/0007.docling.json|data/temp/full_docling_chunks/DOC000015/0008.docling.json|data/temp/full_docling_chunks/DOC000015/0009.docling.json|data/temp/full_docling_chunks/DOC000015/0010.docling.json|data/temp/full_docling_chunks/DOC000015/0011.docling.json|data/temp/full_docling_chunks/DOC000015/0002.docling.json|data/temp/full_docling_chunks/DOC000015/0003.docling.json|data/temp/full_docling_chunks/DOC000015/0004.docling.json,true,true,pending
DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,HS2_Guide_to_Tunnelling_Costs.pdf,.pdf,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,2011,Belge metninde publication/date bağlamında açık yıl: 2011,medium,,contracts|cost|excavation|geology|maintenance|operations|portal|tbm|ventilation,tbm:tbm; geology:geolog; excavation:excavat; portal:portal; ventilation:ventilation; operations:operating; maintenance:maintenance; cost:maliyet; contracts:contract; tunnel_general:tunnel,high,,HS2_Guide_to_Tunnelling_Costs,pdf_page,data/temp/full_docling_chunks/DOC000016/0001.docling.json,true,true,pending
DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,IRJET-V8I7794.pdf,.pdf,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4,baseline,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,cost_analysis,Dosya yolu/başlık/ilk heading sinyali: cost analysis,medium,en,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,operation|cost,cost|inspection|inventory|maintenance|operations|safety|standards|traffic,safety:safety; traffic:traffic; operations:operation; maintenance:maintenance; inspection:inspection; standards:standard; cost:maliyet; inventory:inventory; tunnel_general:tunnel,high,,IRJET-V8I7794,source_only,,false,true,pending
DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,low-cost-tunnels-rural-roads-asia-pacific.pdf,.pdf,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886,full_docling,,B,Akademik yayın türü sinyali: academic_article,medium,unknown,academic_article,İlk içerik bölümünde yayın türü sinyali: doi,medium,,en,high,,,"Belge metninde çelişkili publication/date yılları: 2002, 2021",low,cost,contracts|cost|excavation|geology|maintenance|operations|portal|risk|shotcrete|standards|tbm|traffic|ventilation,tbm:tunnel boring machine; geology:geolog; excavation:excavat; shotcrete:shotcrete; portal:portal; risk:risk; ventilation:ventilation; traffic:traffic; operations:operation; maintenance:maintenance; standards:standard; cost:maliyet,high,,low-cost-tunnels-rural-roads-asia-pacific,pdf_page,data/temp/full_docling_chunks/DOC000018/0001.docling.json,true,true,pending
DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,operating-costs-and-revenues-report.pdf,.pdf,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,2012,Belge metninde publication/date bağlamında açık yıl: 2012,medium,,cost|maintenance|operations|traffic,traffic:traffic; operations:operating; maintenance:maintenance; cost:maliyet; tunnel_general:tunnel,high,,operating-costs-and-revenues-report,pdf_page,data/temp/full_docling_chunks/DOC000019/0001.docling.json,true,true,pending
DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,THICKI01_TALK.pdf,.pdf,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,cost_analysis,Dosya yolu/başlık/ilk heading sinyali: cost analysis,medium,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,blasting|cost|excavation|geotechnical_investigation|rock_bolt|shotcrete|tbm|water|waterproofing,tbm:tbm; geotechnical_investigation:geotechnical; excavation:excavat; blasting:drill &amp; blast; shotcrete:shotcrete; rock_bolt:rock bolt; water:groundwater; waterproofing:waterproof; cost:maliyet; tunnel_general:tunnel,high,,THICKI01_TALK,pdf_page,data/temp/full_docling_chunks/DOC000020/0001.docling.json,true,true,pending
DOC000021,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,Tunnel - Wikipedia.pdf,.pdf,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,full_docling,D,D,Mevcut canonical metadata authority_level=D,high,web_article,web_article,Mevcut canonical metadata document_type=web_article,high,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,accident|collapse|cost|excavation|geotechnical_investigation|portal|risk|safety|traffic|water,geotechnical_investigation:geotechnical; excavation:excavat; water:groundwater; portal:portal; risk:risk; safety:safety; traffic:traffic; cost:maliyet; accident:accident; collapse:collapse; tunnel_general:tunnel,high,,Tunnel - Wikipedia,pdf_page,data/temp/full_docling_chunks/DOC000021/0001.docling.json|data/temp/full_docling_chunks/DOC000021/0002.docling.json,true,false,not_required
DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,.pdf,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,en,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|excavation|geology|inspection|maintenance|traffic,geology:geolog; excavation:excavat; traffic:traffic; maintenance:maintenance; inspection:inspection; cost:maliyet; tunnel_general:tunnel,high,,Tunnel_ 3 Types and Classification of Tunnel and Purposes,pdf_page,data/temp/full_docling_chunks/DOC000022/0001.docling.json,true,true,pending
DOC000023,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,Tunnels-PIARC.docx,.docx,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e,baseline,A,A,Mevcut canonical metadata authority_level=A,high,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|regulation|ventilation,ventilation:ventilation; regulation:regulation; cost:maliyet; tunnel_general:tunnel,high,PIARC,Tunnels-PIARC,document_section,,false,true,pending
DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,TUNNELS-TYPESANDIMPORTANCE.pdf,.pdf,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|drainage|excavation|geology|operations|portal|risk|safety|traffic|ventilation|water,geology:geolog; excavation:excavat; water:groundwater; drainage:drainage; portal:portal; risk:risk; safety:safety; ventilation:ventilation; traffic:traffic; operations:operation; cost:maliyet; tunnel_general:tunnel,high,,TUNNELS-TYPESANDIMPORTANCE,pdf_page,data/temp/full_docling_chunks/DOC000024/0001.docling.json,true,true,pending
DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,.pdf,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,en,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,blasting|cost|excavation|natm|operations|risk|shotcrete|tbm|traffic|ventilation,natm:new austrian tunnel; tbm:tbm; excavation:excavat; blasting:drill and blast; shotcrete:shotcrete; risk:risk; ventilation:ventilation; traffic:traffic; operations:operating; cost:maliyet; tunnel_general:tunnel,high,,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels,pdf_page,data/temp/full_docling_chunks/DOC000025/0001.docling.json|data/temp/full_docling_chunks/DOC000025/0002.docling.json,true,true,pending
DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,.pdf,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937,full_docling,A,A,Mevcut canonical metadata authority_level=A,high,regulation,regulation,Mevcut canonical metadata document_type=regulation,high,tr,tr,high,,,"Belge metninde çelişkili publication/date yılları: 1930, 1958, 1964, 1966, 1971, 1986, 1999, 2013, 2015",low,operation,operations|regulation|safety|standards,safety:güvenlik; operations:işletme; regulation:yönetmelik; standards:standart; tunnel_general:tünel,high,Resmî Gazete,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği,pdf_page,data/temp/full_docling_chunks/DOC000036/0001.docling.json|data/temp/full_docling_chunks/DOC000036/0002.docling.json|data/temp/full_docling_chunks/DOC000036/0003.docling.json|data/temp/full_docling_chunks/DOC000036/0004.docling.json,true,true,pending
DOC000037,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,.pdf,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c,full_docling,C,C,Mevcut canonical metadata authority_level=C,high,conference_paper,conference_paper,Mevcut canonical metadata document_type=conference_paper,high,tr,tr,high,2013,2013,Mevcut canonical metadata yılı: 2013,high,excavation,excavation|operations,excavation:kazı; operations:işletme; tunnel_general:tünel,high,,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013,pdf_page,data/temp/full_docling_chunks/DOC000037/0001.docling.json|data/temp/full_docling_chunks/DOC000037/0005.docling.json|data/temp/full_docling_chunks/DOC000037/0006.docling.json|data/temp/full_docling_chunks/DOC000037/0007.docling.json|data/temp/full_docling_chunks/DOC000037/0008.docling.json|data/temp/full_docling_chunks/DOC000037/0009.docling.json|data/temp/full_docling_chunks/DOC000037/0002.docling.json|data/temp/full_docling_chunks/DOC000037/0003.docling.json|data/temp/full_docling_chunks/DOC000037/0004.docling.json,true,true,pending
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,.pdf,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,"Belge metninde çelişkili publication/date yılları: 1999, 2006",low,cost,cost|regulation|standards,regulation:regulation; standards:standard; cost:cost; tunnel_general:tunnel,high,,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project,pdf_page,data/temp/full_docling_chunks/DOC000038/0001.docling.json,true,true,pending
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,.pdf,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,"Belge metninde çelişkili publication/date yılları: 2017, 2019",low,,case_study|cost|standards,standards:standard; cost:cost; case_study:case study; tunnel_general:tunnel,high,,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible,pdf_page,data/temp/full_docling_chunks/DOC000039/0001.docling.json,true,true,pending
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,Estimate of annual operating costs Highway Tunnel.pdf,.pdf,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,baseline,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,unknown,low,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|operations,operations:operating; cost:cost; tunnel_general:tunnel,high,,Estimate of annual operating costs Highway Tunnel,source_only,,false,true,pending
DOC000042,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,.pdf,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a,full_docling,,B,Akademik yayın türü sinyali: academic_article,medium,unknown,academic_article,İlk içerik bölümünde yayın türü sinyali: journal of,medium,tr,tr,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,accident|cost|fire_safety|inventory|operations|safety|standards|traffic|ventilation,safety:güvenlik; fire_safety:yangın; ventilation:havalandırma; traffic:trafik; operations:işletme; standards:standart; cost:maliyet; accident:kaza; inventory:envanter; tunnel_general:tünel,high,Karayolları Genel Müdürlüğü (KGM),Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları,pdf_page,data/temp/full_docling_chunks/DOC000042/0001.docling.json,true,true,pending
