priority,document_id,source_relative_path,field,current_value,deterministic_suggestion,llm_suggestion,evidence,confidence,agreement_status,reviewer_value,reviewer_note,review_status,reviewed_at
P0,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,document_type,unknown,unknown,unknown,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,language,,unknown,unknown,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,authority_level,,unclassified,unclassified,not_requested,medium,unresolved,,,pending,
P0,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,organization,,,,not_requested,low,unresolved,,,pending,
P0,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,year,,,,not_requested,low,unresolved,,,pending,
P0,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,authority_level,,unclassified,unclassified,Konservatif görsel açıklaması,medium,unresolved,,,pending,
P0,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000061,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Kullanılan Kaynaklar.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000063,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,authority_level,,unclassified,A,Resmî Gazete'de yayımlanan... 2022/06/18-8-1.pdf,high,llm_only,,,pending,
P0,DOC000067,"Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.pptx",organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000068,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/TBM(Tunnel Boring Machine).pptx,authority_level,,C,unclassified,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar [evidence_not_grounded_in_context] [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000068,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/TBM(Tunnel Boring Machine).pptx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000069,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,authority_level,,unclassified,unclassified,Sunular için Prof. Dr. Hakan ERSOY’a teşekkür ederim [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000070,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,authority_level,,B,unclassified,"***Araştırma Makalesi / Research Article*** Ordu Üniv. Bil. Tek. Derg., 2017; 7(2): 275-288 [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,authority_level,,unclassified,unclassified,Emine ERTEKİN YARDIMCI Jeoloji Y. Mühendisi [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000076,Mehmet/Kitap 2.Bolum/Tuneller Bolum2_9_7_2025.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000086,Mehmet/Literatur/Kaynaklar.docx,authority_level,,B,unclassified,Kaynaklar.docx [evidence_not_grounded_in_context] [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000086,Mehmet/Literatur/Kaynaklar.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000086,Mehmet/Literatur/Kaynaklar.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000096,Mehmet/Literatur/Wordler/CevreSehircilik_tunel-isler--20230202145300.docx,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000096,Mehmet/Literatur/Wordler/CevreSehircilik_tunel-isler--20230202145300.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000096,Mehmet/Literatur/Wordler/CevreSehircilik_tunel-isler--20230202145300.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000099,Mehmet/Literatur/Wordler/IMO_12782.docx,authority_level,,unclassified,unclassified,"Bildiride kullan1lan ana yöntemler kısaca aç1klan1p, bunların yararları ve sakıncaları elirtiliyor. [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000099,Mehmet/Literatur/Wordler/IMO_12782.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000099,Mehmet/Literatur/Wordler/IMO_12782.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000100,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,authority_level,,unclassified,unclassified,academic article with authors from universities and conference proceedings [evidence_not_grounded_in_context] [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000100,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000100,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000102,Mehmet/Literatur/Wordler/KayaTunelleri_AnkUni_Konu13.docx,authority_level,,unclassified,unclassified,"Headings and excerpts indicate a university course/module ('Konu 13', 'Bölüm 40' reference) with academic structure and references to specific tunnel case studies (Seikan, Hong Kong, Channel Tunnel). [evidence_not_grounded_in_context] [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000102,Mehmet/Literatur/Wordler/KayaTunelleri_AnkUni_Konu13.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000102,Mehmet/Literatur/Wordler/KayaTunelleri_AnkUni_Konu13.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,authority_level,,unclassified,unclassified,NATM TÜNEL YAPIMI [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,authority_level,,unclassified,unclassified,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009* [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,authority_level,,unclassified,B,**DEVELOPMENT AND BACKGROUND OF NATM** **Wulf Schubert** **Graz University of Technology**,high,llm_only,,,pending,
P0,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000111,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000111,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000113,Mehmet/Literatur/Wordler/YTMK/2015/04_TUG_Risk_oriented_design.docx,authority_level,,unclassified,unclassified,Graz University of Technology [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,authority_level,,unclassified,unclassified,**IGT Geotechnik und Tunnelbau ZT GmbH** [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000116,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,authority_level,,unclassified,B,***Graz University of Technology***,high,llm_only,,,pending,
P0,DOC000117,Mehmet/Literatur/Wordler/YTMK/2015/09_TUG_Monitoring.docx,authority_level,,unclassified,unclassified,***Graz University of Technology*** [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,authority_level,,unclassified,unclassified,**IGT Geotechnik und Tunnelbau ZT GmbH** [**b.kohlboeck@igt-engineering.com**](mailto:b.kohlboeck@igt-engineering.com) [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000120,Mehmet/Literatur/Wordler/YTMK/2015/12_TUG_contract.docx,authority_level,,unclassified,B,"Author is 'Wulf Schubert' from 'Graz University of Technology', not an official institutional manual or regulation",high,llm_only,,,pending,
P0,DOC000121,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,authority_level,,unclassified,unclassified,**Austrian Standard ÖNORM B 2203-1** [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000122,Mehmet/Literatur/Wordler/YTMK/2015/Guideline_Geotechnical_Design_conv_2010_01.docx,authority_level,,unclassified,unclassified,**Austrian Society for Geomechanics** [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000123,Mehmet/Literatur/Wordler/YTMK/2015/OeGG_Monitoring_Handbook.docx,authority_level,,unclassified,unclassified,Österreichische Gesellschaft für Geomechanik (Austrian Society for Geomechanics) [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000125,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Ahmet Sirin.pdf,authority_level,,unclassified,unclassified,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013 [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000128,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Merih Ozgen.pdf,authority_level,,unclassified,unclassified,İ MDER YÖNET İ M KURULU BA Ş KAN YARDIMCISI [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000129,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,authority_level,,unclassified,unclassified,Tünel Yönetim Sistemleri - Sunu İ çeri ğ i [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000129,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,organization,,,,not_requested,low,unresolved,,,pending,
P0,DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,authority_level,,unclassified,unclassified,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013 [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000131,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Nurettin Demir.pdf,authority_level,,unclassified,unclassified,Mehmet/Literatur/YTMK Tünelcilik Semineri/2013/Nurettin Demir.pdf [evidence_not_grounded_in_context] [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000132,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Prof Mahir Vardar.pdf,authority_level,,unclassified,unclassified,Prof.Dr. Mahir VARDAR İ stanbul Teknik Üniversitesi [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
