priority,document_id,source_relative_path,field,current_value,deterministic_suggestion,llm_suggestion,selected_candidate,evidence,confidence,agreement_status,adjudication_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P1,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,document_type,unknown,unknown,handbook,,1.2.2 Constructional measures for road safety in tunnels,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,document_type,unknown,unknown,book_or_book_chapter,,Volume II: Basics and Additional Services for Design and Construction,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,document_type,unknown,unknown,project_document,,AppendixF,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,organization,,,CivilDigital,,© 2021 CivilDigital · Built with GeneratePress,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,document_type,unknown,unknown,web_article,,Home Resources  Articles About Us  Site Map Contact Us,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,organization,,,Xi'an Municipal Engineering Design&Research Institute Co Ltd; Chang'an University,,"Xi'an Municipal Engineering Design&Research Institute Co Ltd, Xi'an, Shaanxi, China School of Highway, Chang'an University, Xi'an, Shaanxi, China",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,organization,,,High Speed 2 (HS2),,"On the 26 March 2015 the House of Commons Select Committee for the High Speed 2 (London to West Midlands) hybrid Bill published their 'First Special Report'. Paragraph 75 states: 'The merits of tunnels should be assessed on the basis of their own cost and potential benefit, not their percentage contribution to overall project costs. We have requested that the Promoter make available a guide to tunnel costs to assist petitioners arguing the case for more tunnelling.'",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,document_type,unknown,unknown,technical_report,,This Guide provides a general description of the principal cost elements for bored (or mechanised) tunnels constructed using either an 'Earth Pressure Balance Machine' (EPBM) or a 'Slurry' machine.,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,organization,,,International Research Journal of Engineering and Technology (IRJET),,International Research Journal of Engineering and Technology (IRJET)       e-ISSN: 2395-0056,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,year,,,2021,,© 2021 Asian Development Bank,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,document_type,unknown,unknown,technical_report,,"This document has been prepared by AECOM Limited for the sole use of our client (the 'Client') and in accordance with generally accepted consultancy principles, the budget for fees and the terms of reference agreed between AECOM Limited and the Client.",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,organization,,,Fermilab,,## U/G Unit Cost Analysis ## ► Objective: Prepare unit construction cost estimates for the underground structures and their supporting construction facilities for the conventional facilities associated with the proposed International Linear Collider (ILC) sited in a northeastern Illinois region near Fermilab.,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,document_type,unknown,unknown,web_article,,https://www.civilknowledges.com/bending-moment-types-formations/,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,year,,,2014,,Technical Report · March 2014,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,document_type,unknown,unknown,technical_report,,Technical Report · March 2014,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,year,,,2015,,4 Ağustos 2015 SALI Sayı : 29435,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000037,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,organization,,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,document_type,unknown,unknown,academic_article,,This paper analyzes the feasibility of Bolu Mountain Tunnel which is one of the most costly highway projects in Turkey.,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,organization,,,Infrastructure and Projects Authority (IPA),,the Infrastructure and Projects Authority (IPA) is developing a new top-down benchmarking methodology,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,year,,,2018,,"In September 2018, in collaboration with the British Tunnelling Society (BTS), a tunnelling forum was held",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,document_type,unknown,unknown,technical_report,,"This paper describes a recent re-benchmarking exercise carried out in 2018. It sets out the methodology adopted, the results, and recommendations for their future use.",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,document_type,unknown,unknown,technical_report,,# Estimate of annual operating costs Highway Tunnel,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",year,,,2015,,Available online 22 October 2015,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",document_type,unknown,unknown,academic_article,,Tunnelling and Underground Space Technology,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,document_type,unknown,unknown,technical_report,,Tünellerin Asgari Güvenlik Gereksinimlerine İlişkin Proje Kriterlerinin Belirlenmesi İle İlgili Komisyon Raporu,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,organization,,,KGM,,Tünel Haritası 2024_KGMWEB,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,document_type,unknown,unknown,inventory,,Tünel Haritası 2024_KGMWEB,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,document_type,unknown,unknown,other,,Kaynak arşiv görseli: Enjeksiyon Foto2.,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,document_type,unknown,unknown,other,,not_requested,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,document_type,unknown,unknown,other,,Konservatif görsel açıklaması,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000063,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,authority_level,,unclassified,A,,Resmî Gazete'de yayımlanan... 2022/06/18-8-1.pdf,high,llm_only,field_specific_authority_level_identity_or_publication_check_required,,,pending,
P1,DOC000066,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/1-NATM-2020.pptx,organization,,,Yol Yapım Dairesi Başkanlığı,,Yol Yapım Şubesi Müdürlüğü Yol Yapım Dairesi Başkanlığı Tünel Kontrol Mühendisi Geliştirme Kursu,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000069,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,document_type,unknown,unknown,presentation,,Sunular için Prof. Dr. Hakan ERSOY’a teşekkür ederim,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000071,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,year,,,2002,,**Ocak 2002**,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000073,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,year,,,2013,,**TÜRKİYE TÜNELCİLİK SEMİNERİ 13 HAZİRAN 2013**,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,year,,,2012,,ANKARA 2012,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,document_type,unknown,unknown,academic_article,,Emine ERTEKİN YARDIMCI Jeoloji Y. Mühendisi,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000098,Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.docx,year,,,2020,,"**Yıl: 2020, Sayfa: 89**",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000099,Mehmet/Literatur/Wordler/IMO_12782.docx,document_type,unknown,unknown,conference_paper,,"Bildiride kullan1lan ana yöntemler kısaca aç1klan1p, bunların yararları ve sakıncaları elirtiliyor.",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000100,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,document_type,unknown,unknown,conference_paper,,"12th Annual Conference and Annual General Meeting, Conference Proceedings",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,document_type,unknown,unknown,technical_specification,,NATM TÜNEL YAPIMI,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,year,,,2009,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,document_type,unknown,unknown,academic_article,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,document_type,unknown,unknown,academic_article,,**DEVELOPMENT AND BACKGROUND OF NATM** **Wulf Schubert** **Graz University of Technology**,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,authority_level,,unclassified,B,,**DEVELOPMENT AND BACKGROUND OF NATM** **Wulf Schubert** **Graz University of Technology**,high,llm_only,field_specific_authority_level_identity_or_publication_check_required,,,pending,
P1,DOC000111,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,document_type,unknown,unknown,presentation,,**Investigation strategies on the example of the** **Semmering Base Tunnel** **Alfred Fasching** <!-- image --> <!-- image --> ### Project overview Semmering Base Tunnel,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000112,Mehmet/Literatur/Wordler/YTMK/2015/03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.docx,organization,,,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH**,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000113,Mehmet/Literatur/Wordler/YTMK/2015/04_TUG_Risk_oriented_design.docx,document_type,unknown,unknown,conference_proceedings,,"Austrian Tunnelling Seminar Ankara, March 31 & April 1 , 2015",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,organization,,,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH**,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,document_type,unknown,unknown,conference_proceedings,,"Austrian Tunnelling Symposium Austria, March 31st & April 1st, 2015",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000115,Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.docx,organization,,,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000115,Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.docx,document_type,unknown,unknown,conference_paper,,"Austrian Tunnelling Seminar Ankara, March 31st &amp; April 1st, 2015",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000116,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,document_type,unknown,unknown,conference_paper,,Graz University of Technology,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000116,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,authority_level,,unclassified,B,,***Graz University of Technology***,high,llm_only,field_specific_authority_level_identity_or_publication_check_required,,,pending,
P1,DOC000117,Mehmet/Literatur/Wordler/YTMK/2015/09_TUG_Monitoring.docx,document_type,unknown,unknown,conference_proceedings,,"Austrian Tunnelling Seminar Ankara, March 31st &amp; April 1st, 2015",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000118,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,organization,,,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000118,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,document_type,unknown,unknown,conference_proceedings,,"Austrian Tunnelling Seminar Ankara, March 31st &amp; April 1st, 2015",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,organization,,,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH**,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,document_type,unknown,unknown,conference_paper,,Announcement: The journal **„Geomechanics and Tunnelling“** publishes international articles about geomechanics and all aspects of tunnelling.,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000120,Mehmet/Literatur/Wordler/YTMK/2015/12_TUG_contract.docx,authority_level,,unclassified,B,,"Author is 'Wulf Schubert' from 'Graz University of Technology', not an official institutional manual or regulation",high,llm_only,field_specific_authority_level_identity_or_publication_check_required,,,pending,
P1,DOC000121,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,document_type,unknown,unknown,technical_specification,,**Austrian Standard ÖNORM B 2203-1**,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000122,Mehmet/Literatur/Wordler/YTMK/2015/Guideline_Geotechnical_Design_conv_2010_01.docx,document_type,unknown,unknown,technical_specification,,**Austrian Society for Geomechanics** **Guideline for the**,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000123,Mehmet/Literatur/Wordler/YTMK/2015/OeGG_Monitoring_Handbook.docx,organization,,,Österreichische Gesellschaft für Geomechanik (Austrian Society for Geomechanics),,ÖSTERREICHISCHE GESELLSCHAFT FÜR GEOMECHANIK AUSTRIAN SOCIETY FOR GEOMECHANICS,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000124,Mehmet/Literatur/Wordler/YTU Yuksek Lisans.docx,year,,,2009,,"**İSTANBUL, 2009**",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000125,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Ahmet Sirin.pdf,document_type,unknown,unknown,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000126,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Dr Orhan Simsek.pdf,document_type,unknown,unknown,conference_proceedings,,TURK E TUNELCILIK SEMINERI2O13,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000127,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/M.Kemal Akman.pdf,organization,,,YÜKSEL Proje Uluslararası A. Ş.,,M. Kemal AKMAN YÜKSEL Proje Uluslararas ı A. Ş .,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000129,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,document_type,unknown,unknown,presentation,,Tünel Yönetim Sistemleri - Sunu İ çeri ğ i,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,organization,,,Karayolları Genel Müdürlüğü,,Murat Dursun BARUT Karayolları Genel Müdürlüğü,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,document_type,unknown,unknown,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000131,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Nurettin Demir.pdf,organization,,,"Türkiye Cumhuriyeti Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",,"## BAKANLIK Türkiye Cumhuriyeti Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000132,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Prof Mahir Vardar.pdf,organization,,,İstanbul Teknik Üniversitesi,,Prof.Dr. Mahir VARDAR İ stanbul Teknik Üniversitesi,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000151,Mehmet/Literatur/YTMK Tunelcilik Semineri/YTMK Kaynaklar.docx,document_type,unknown,unknown,presentation,,sunumlar,medium,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000153,Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,organization,,,Sika,,Success Factors - Innovation Sika's long history of innovation has led to unparalleled success in becoming a recognized global technology leader,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,organization,,,Turkish Tunnelling Society,,TURKISH TUNNELLING SOCIETY,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,document_type,unknown,unknown,conference_proceedings,,TURKISH TUNNELLING SOCIETY,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000156,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,document_type,unknown,unknown,presentation,,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000157,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,organization,,,International Tunnelling and Underground Space Association (ITA),,Professor Arnold Dix · President - International Tunnelling and Underground Space Association (ITA),high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000157,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,document_type,unknown,unknown,presentation,,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000159,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,organization,,,İBB Raylı Sistem Projeler Şube Müdürlüğü,,Setenay ULUDAĞ Müdür Yardımcısı İBB Raylı Sistem Projeler Şube Müdürlüğü,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000159,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,document_type,unknown,unknown,presentation,,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000160,"Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",organization,,,Yapı Merkezi,,"Yapı Merkezi with Obayashi and Kajima executed the civil, architectural and building MEP works",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000160,"Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",document_type,unknown,unknown,presentation,,TUNNEL TÜNELCILIKDERNEGI TURKISH TUNNELLING SOCIETY,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000161,"Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",organization,,,İzmir Büyükşehir Belediyesi Raylı Sistem Dairesi Başkanlığı,,İzmir Büyükşehir Belediyesi Raylı Sitem Dairesi Başkanlığı altında,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000162,"Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",organization,,,TARIM VE ORMAN BAKANLIĞI DEVLET SU İŞLERİ GENEL MÜDÜRLÜĞÜ Jeoteknik Hizmetler Dairesi Başkanlığı,,TARIM VE ORMAN BAKANLIĞI DEVLET SU İŞLERİ GENEL MÜDÜRLÜĞÜ Jeoteknik Hizmetler Dairesi Başkanlığı,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
