priority,document_id,source_relative_path,field,previous_candidate,verification_value,verification_evidence,verification_confidence,verification_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P1,DOC000037,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,organization,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,document_type,academic_article,,This paper analyzes the feasibility of Bolu Mountain Tunnel which is one of the most costly highway projects in Turkey.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,organization,Infrastructure and Projects Authority (IPA),,the Infrastructure and Projects Authority (IPA) is developing a new top-down benchmarking methodology,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,year,2018,,This paper describes a recent re-benchmarking exercise carried out in 2018.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,document_type,technical_report,,"This paper describes a recent re-benchmarking exercise carried out in 2018. It sets out the methodology adopted, the results, and recommendations for their future use.",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,document_type,technical_report,,# Estimate of annual operating costs Highway Tunnel,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",year,2015,,Article history: Received 30 May 2015 Available online 22 October 2015,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",document_type,academic_article,,Tunnelling and Underground Space Technology journal homepage: www.elsevier.com/locate/tust,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,document_type,technical_report,,multi-disciplinary commission to study the circular prepared for the General Directorate.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,document_type,inventory,,# Tünel Haritası 2024_KGMWEB,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,document_type,other,,# Enjeksiyon Foto2 ![Enjeksiyon Foto2](Enjeksiyon Foto2.jpg),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,document_type,other,,# InvertBetonUygulaması ![InvertBetonUygulaması](InvertBetonUygulaması.png),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000063,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,authority_level,A,,Ulaştırma ve Altyapı Bakanlığından: TEHLİKELİ MADDELERİN KARAYOLUYLA TAŞINMASI HAKKINDA YÖNETMELİK,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000069,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,document_type,presentation,,Doç. Dr. Mustafa VEKLİ Sunular için Prof. Dr. Hakan ERSOY’a teşekkür ederim,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000071,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,year,2002,,**Ocak 2002**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000073,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,year,2013,,TÜRKİYE TÜNELCİLİK SEMİNERİ 13 HAZİRAN 2013,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,year,2012,,ANKARA 2012 Her Hakkı Saklıdır,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,document_type,academic_article,,TÜNELLERDE DESTEK SİSTEMLERİ VE GÜÇLENDİRME YÖNTEMLERİ Emine ERTEKİN YARDIMCI Jeoloji Y. Mühendisi ANKARA 2012,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000098,Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.docx,year,2020,,**T.C.** **HARRAN ÜNİVERSİTESİ FEN BİLİMLERİ ENSTİTÜSÜ** **YÜKSEK LİSANS TEZİ**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000099,Mehmet/Literatur/Wordler/IMO_12782.docx,document_type,conference_paper,,"Bildiride kullan1lan ana yöntemler kısaca aç1klan1p, bunların yararları ve sakıncaları elirtiliyor.",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000100,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,document_type,conference_paper,,Bu bildiride alternatif maliyet analizi çalışmalarını inceleyen çalışmanın ön sonuçları olarak,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,document_type,technical_specification,,Tünellerde kazı destekleme işleri “Yeni Avusturya Tünel Metodu” ile yapılacaktır.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,year,2009,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000105,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,document_type,academic_article,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,document_type,academic_article,,**DEVELOPMENT AND BACKGROUND OF NATM** **Wulf Schubert** **Graz University of Technology**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,authority_level,B,,**Graz University of Technology**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000111,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,document_type,presentation,,**Investigation strategies on the example of the** **Semmering Base Tunnel**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000112,Mehmet/Literatur/Wordler/YTMK/2015/03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.docx,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,"**INFLUENCE OF CODES, GUIDELINES AND OTHER REGULATIONS ON THE TUNNEL DESIGN IN AUSTRIA** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000113,Mehmet/Literatur/Wordler/YTMK/2015/04_TUG_Risk_oriented_design.docx,document_type,conference_proceedings,,"Austrian Tunnelling Seminar Ankara, March 31 & April 1 , 2015",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH** [**b.kohlboeck@igt-engineering.com**](mailto:b.kohlboeck@igt-engineering.com),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,document_type,conference_proceedings,,**DESIGN OF TUNNELS IN VARIOUS ROCK CONDITIONS** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000115,Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.docx,organization,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000115,Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.docx,document_type,conference_paper,,"**Austrian Tunnelling Seminar Ankara, March 31st &amp; April 1st, 2015 14**",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000116,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,document_type,conference_paper,,**SUPPORT STRATEGIES FOR TUNNELS IN WEAK GROUND AND HIGH OVERBURDEN** **Wulf Schubert** ***Graz University of Technology***,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000116,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,authority_level,B,,***Graz University of Technology***,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000117,Mehmet/Literatur/Wordler/YTMK/2015/09_TUG_Monitoring.docx,document_type,conference_proceedings,,"**Austrian Tunnelling Seminar Ankara, March 31st & April 1st, 2015 16**",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000118,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,organization,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways ### Requirements for a successful application of NATM,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000118,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,document_type,conference_proceedings,,"**Austrian Tunnelling Seminar Ankara, March 31st & April 1st, 2015**",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH** [**b.kohlboeck@igt-engineering.com**](mailto:b.kohlboeck@igt-engineering.com),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,document_type,conference_paper,,**SUPPLEMENTARY JET GROUTING AT METRO VIENNA LOT U1-10** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000120,Mehmet/Literatur/Wordler/YTMK/2015/12_TUG_contract.docx,authority_level,B,,***Graz University of Technology***,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000121,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,document_type,technical_specification,,Publisher: Austrian Society for Geomechanics ... The Austrian Practice of NATM Tunnelling Contracts,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000122,Mehmet/Literatur/Wordler/YTMK/2015/Guideline_Geotechnical_Design_conv_2010_01.docx,document_type,technical_specification,,Guideline for the Geotechnical Design of Underground Structures with Conventional Excavation,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000123,Mehmet/Literatur/Wordler/YTMK/2015/OeGG_Monitoring_Handbook.docx,organization,Österreichische Gesellschaft für Geomechanik (Austrian Society for Geomechanics),,ÖSTERREICHISCHE GESELLSCHAFT FÜR GEOMECHANIK AUSTRIAN SOCIETY FOR GEOMECHANICS,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000124,Mehmet/Literatur/Wordler/YTU Yuksek Lisans.docx,year,2009,,"**İSTANBUL, 2009**",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000125,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Ahmet Sirin.pdf,document_type,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013 HAZIRLAYANIN ADI SOYADI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000126,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Dr Orhan Simsek.pdf,document_type,conference_proceedings,,"TURK E TUNELCILIK SEMINERI2O13 SHERATON OTEL, ANKARA Dr. Orhan Şİ M Ş EK FUGRO S İ AL Ltd. Ş ti.",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000129,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,document_type,presentation,,Tünel Yönetim Sistemleri - Sunu İçeriği,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,organization,Karayolları Genel Müdürlüğü,,Murat Dursun BARUT Karayolları Genel Müdürlüğü 13 Haziran 2013 Ankara,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,document_type,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000153,Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,organization,Sika,,Sika's long history of innovation has led to unparalleled success in becoming a recognized global technology leader,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,organization,Turkish Tunnelling Society,,www.tunnelturkey.org TURKISH TUNNELLING SOCIETY,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,document_type,conference_proceedings,,TURKISH TUNNELLING SOCIETY ... 29-30 KASIM 2022,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000156,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,document_type,presentation,,www.tunnelturkey.org ## Bazı Karayolu Tünel Yangınları ve Can Kayıpları: | YiI | Tünel,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000157,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,organization,International Tunnelling and Underground Space Association (ITA),,President - International Tunnelling and Underground Space Association (ITA),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000159,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,document_type,presentation,,# 3_HIZRAY Project and Planned Future of Istanbul Metro Works ## Sayfa 1,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000161,"Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",organization,İzmir Büyükşehir Belediyesi Raylı Sistem Dairesi Başkanlığı,,İzmir Büyükşehir Belediyesi Raylı Sitem Dairesi Başkanlığı altında,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000162,"Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",organization,TARIM VE ORMAN BAKANLIĞI DEVLET SU İŞLERİ GENEL MÜDÜRLÜĞÜ Jeoteknik Hizmetler Dairesi Başkanlığı,,TARIM VE ORMAN BAKANLIĞI DEVLET SU İŞLERİ GENEL MÜDÜRLÜĞÜ Jeoteknik Hizmetler Dairesi Başkanlığı,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000162,"Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",document_type,presentation,,Dr. Ayhan KOÇBAY Daire Başkanı 29.11.2022 www.tunnelturkey.org,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000163,Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,organization,Mapei,,Ulas Aygun Mapei Indonesia,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000168,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/ADR TAIEX Eğitim Dokümanı.pdf,organization,General Inspectorate of Road Transport in Poland,,TAIEX Expert Mission on road tunnel categorization Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000172,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Turcja_16-19_03_2015_part3.ppt,organization,General Inspectorate of Road Transport in Poland,,TAIEX Expert Mission on road tunnel categorization Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000173,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Turcja_16-19_03_2015_part4.ppt,organization,General Inspectorate of Road Transport in Poland,,TAIEX Expert Mission on road tunnel categorization Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000175,Tünel Dergisi/E-dergi-Tünel Dergisi 46_1.pdf,organization,Tünelcilik Derneği,,CHAIRMAN OF THE TURKISH TUNNELLING SOCIETY,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ YÖNETİM KURULU BAŞKANı,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,year,2022,,October - November - December 2022 Yıl / Year:8 Sayı / Nr: 45,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000177,Tünel Dergisi/E-dergi_Tünel-35.pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ TURKISH TUNNELLING SOCIETY,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,organization,Tünelcilik Derneği,,"Prof. Dr. Nuh Bilgin, Tünelcilik Derneği Başkanı",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,year,2013,,Kasım-Aralık 2013 Yıl:1 Sayı: 1,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000195,Tünel Dergisi/Tunel Dergisi 2.pdf,organization,Tünelcilik Derneği,,Prof. Dr. Nuh bİLGİN TÜNELCİLİK DERNEĞİ BAŞKANI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,organization,Tünelcilik Derneği,,We are proud of presenting you the third issue of the tunnelling journal published by Turkish Tunnelling Society.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,year,2014,,Mart-Nisan / March-April 2014 Yıl / Y ear :1 Sayı / Nr : 3,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,organization,TÜNELCİLİK DERNEĞİ,,Tünelmak Makineleri Sanayi ve Ticaret A.Ş.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,year,2014,,Mayıs-Haziran / May-June 2014 Yıl / Y ear :1 Sayı / Nr : 4,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,organization,Tünelcilik Derneği,,Tünelcilik konusunda eğitim veren diğer önemli eğitim kurumu Swiss Federal Institute of T echnology Lausanne,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,year,2014,,Temmuz-Ağustos / July-August 2014 Yıl / Y ear :1 Sayı / Nr : 5,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000199,Tünel Dergisi/Tunel Dergisi 6.pdf,year,2014,,Eylül-Ekim / September-October 2014 Yıl / Y ear :1 Sayı / Nr : 6,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000200,Tünel Dergisi/tunel37.pdf,organization,Tünelcilik Derneği,,"As Turkish Tunneling Society, it urged us to postpone our International Tunneling Symposium",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000200,Tünel Dergisi/tunel37.pdf,year,2021,,postponed to 2022 due to pandemic conditions,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000201,Tünel Dergisi/Tünel 42-E-dergi_2.pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ TUNNELTURKEY 2021 SEMPOZYUMUNU DÜZENLEDİ,high,strong_evidence_or_identity_threshold_not_met,,,pending,
